ID,Image Url,Video Url,Product Desc,Origin Price,Discount Price,Discount,Sales180Day,Positive Feedback,Product Url
28.0,https://ae-pic-a1.aliexpress-media.com/kf/Sc9c3a166377543369cf98585c4e4db49z.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2212660014157/p/1/e/6/t/10301/343666005316.mp4,BraceTop 1 זוג מגן ברכיים למבוגרים אופני רכיבה על אופניים הגנת מרפקים כדורסל ספורט ברכיים מגני ברכיים כיסויי ברכיים מגן נגד התנגשות,USD 17.64,USD 10.58,40%,29.0,90.0%,https://s.click.aliexpress.com/e/_olEyoyt
29.0,https://ae-pic-a1.aliexpress-media.com/kf/S3f7798bc19db4b8698c6b840c38ca872U.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/233053821/p/1/e/6/t/10301/1100199027275.mp4,"M4 4 בוכנות בלם דיסק הידראולי בלם אופניים MTB AM HD 900/1550 מ""מ בלמי מהדק הרים CNC Tech Mineral Oil AM חדש",USD 76.98,USD 57.73,25%,7.0,100.0%,https://s.click.aliexpress.com/e/_onBSe1F
30.0,https://ae-pic-a1.aliexpress-media.com/kf/Sa3a6e68ce1d84a47aacfc62f49d118b0p.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2672304275/p/1/e/6/t/10301/1100153027205.mp4,מגן ברכיים מוטוקרוס מוסמך LS2 CE מעובה Moto ברכיים מגן נגד החלקה MTB רכיבה על אופניים אביזרי אופנוע ברכיים שין מגן,USD 66.48,USD 21.94,67%,162.0,97.9%,https://s.click.aliexpress.com/e/_olL1KXP
31.0,https://ae-pic-a1.aliexpress-media.com/kf/S68153927149f43cb8eeae9437c3137b0h.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2668730147/p/1/e/6/t/10301/4000227342376.mp4,ANBERNIC RG40XXV קונסולת משחק כף יד 4''IPS מסך פלט וידאו ג'ויסטיק RGB אפקט תאורה הזרמת RG 40XXV Ebook MP4 מתנת,USD 109.42,USD 71.12,35%,209.0,96.6%,https://s.click.aliexpress.com/e/_oEV8OD7
32.0,https://ae-pic-a1.aliexpress-media.com/kf/S5831a4586d7547a8808a769d683f9a32Q.png,,SHIMANO DEORE XT M8100 1X12 Speed Groupset מעביר אחורי SGS ידית הילוכים ימנית SUNSHINE HG סוג קסטה CN-M6100 חלקי אופניים,USD 289.42,USD 121.55,58%,49.0,83.8%,https://s.click.aliexpress.com/e/_opCpzbL
33.0,https://ae-pic-a1.aliexpress-media.com/kf/Saff48d0c44e54d109fd358a506ace3afq.jpg,,"Shimano Deore SLX MT510 MTB Crankset 10 11 12 Speed אופני הרים נר גלגל שיניים לאופניים 170 מ""מ 32T 34T 36T 38T BB52 MT500",USD 93.96,USD 43.22,54%,111.0,94.5%,https://s.click.aliexpress.com/e/_oCfITe1
34.0,https://ae-pic-a1.aliexpress-media.com/kf/S9ec21b7b8a114a098bec130b18ff9943b.jpg,,רכזות אופניים KOOZER 450 BOOST אופני הרים Hub 6 כפות 120HD 28 32 חור HG XD MS 8 9 10 11 12Speed 110*15 148*12MM XM490 Upgrad,USD 47.55,USD 21.40,55%,33.0,100.0%,https://s.click.aliexpress.com/e/_oBRryRr
35.0,https://ae-pic-a1.aliexpress-media.com/kf/Se3fffcc00fb349c387b128116379e377K.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2659994306/p/1/e/6/t/10301/4000232786975.mp4,Gisam 588N.m ללא מברשות 1/4 אינץ' מקדחה אלחוטית מברג חשמלי 4 מהירויות עם 3 כלים חשמליים LED עבור סוללת Makita 18V,USD 65.14,USD 39.08,40%,20.0,96.7%,https://s.click.aliexpress.com/e/_oDBbI7X
36.0,https://ae-pic-a1.aliexpress-media.com/kf/Sf43f613fee594ebebe37ca3927e2e0c7Y.jpg,,מקיטה 18V מפתח פגיעה אלחוטי מנוע ללא מברשת חשמלי מהירות משתנה חשמלית כלי רב תכליתי DTW300,USD 85.16,USD 37.47,56%,130.0,92.3%,https://s.click.aliexpress.com/e/_opYEZ61
37.0,https://ae-pic-a1.aliexpress-media.com/kf/S8950e562e01f40f4adbb5c727c12aaf8T.jpg,,"IIIPRO IV4R 4 בוכנות דיסק הידראולי בלם MTB AM DH בלם אופניים 82/145 ס""מ CNC Tech שמן מינרלי עבור אופני טיפוס הרים XC",USD 183.15,USD 92.02,49%,77.0,93.3%,https://s.click.aliexpress.com/e/_onwYK1L
38.0,https://ae-pic-a1.aliexpress-media.com/kf/S430c2cc0d61e45b08cfa5910b1a31c67O.jpg,,אחיזת כידון אופניים של ROCKBROS כיסוי ידית אופניים נגד החלקה כיסוי ארגונומי עור רך גרגר עליון MTB אביזרי אופני MTB 1 זוג,USD 45.98,USD 22.99,50%,7.0,100.0%,https://s.click.aliexpress.com/e/_oBvHFBL
39.0,https://ae-pic-a1.aliexpress-media.com/kf/S1a08a9d2c089400da3d0ebf728382550o.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2671969090/p/1/e/6/t/10301/1100184432451.mp4,Sram GX NX SX Eagle Trigger Shifter MTB 12 הילוכים מקורי אופני הרים Shifter 12S RD הדק אחורי / אחיזה Shifter,USD 27.26,USD 11.99,56%,57.0,97.6%,https://s.click.aliexpress.com/e/_omelEFJ
40.0,https://ae-pic-a1.aliexpress-media.com/kf/Hf15fd914af1c448e90344ca1d7791c94X.jpg,,SHIMANO DEORE XT SLX SL M6100 M7100 M8100 ידית הילוכים ימין 12 הילוכים שמאלה 2 מהירויות עבור אופני הרים אופני MTB חלקים מקוריים,USD 33.50,USD 16.42,51%,94.0,97.9%,https://s.click.aliexpress.com/e/_onFJbID
41.0,https://ae-pic-a1.aliexpress-media.com/kf/S8f89096fec994b789bcb618c404f5bd41.jpg,,אופני הרים רטרו מנעול אחיזה נגד החלקה עור PU תפור ביד אופניים כיסוי נגד החלקה כיסוי ידית אופני כביש,USD 10.34,USD 5.17,50%,21.0,94.3%,https://s.click.aliexpress.com/e/_op7NKh3
42.0,https://ae-pic-a1.aliexpress-media.com/kf/S0dc5aa87350f4602af52a90c91e72330X.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/252403922/p/1/e/6/t/10301/4000112700681.mp4,"כדורסל זוהר 7,6,5 ילדים סטודנט למבוגרים משחק חיצוני מקורה ללבוש עמיד ללבוש PU ציוד כדורסל אימון פלורסנט",USD 37.35,USD 21.29,43%,119.0,90.0%,https://s.click.aliexpress.com/e/_okYlaLJ
43.0,https://ae-pic-a1.aliexpress-media.com/kf/S30fc7f4b94b34ff4ba42fd8c4bcacbfft.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/238889113/p/1/e/6/t/10301/1100070467838.mp4,CONTINENTAL RUBAN SHIELDWALL TUBELESS TIRE MTB 27.5/29IN TLR E-25 מתקפל צמיג 29 בצמיג MTB Tubeless XC,USD 70.95,USD 33.35,53%,182.0,98.6%,https://s.click.aliexpress.com/e/_oEBkyNx
44.0,https://ae-pic-a1.aliexpress-media.com/kf/Sfd6ead73e090467f9034c31142e49fb6C.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/221697733/p/1/e/6/t/10301/1100088673415.mp4,"IIIPRO E4 אופני הרים בלם הידראולי 800/1550 מ""מ בלם אחורי קדמי קירור 4 בוכנות לחץ שמן AM DH E-bike MTB דיסק בלם",USD 7.76,USD 3.57,54%,22.0,100.0%,https://s.click.aliexpress.com/e/_oEUmUxJ
45.0,https://ae-pic-a1.aliexpress-media.com/kf/S9a7a6b0eb2ac44318679ea3be04752e6b.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/202169686/p/1/e/6/t/10301/1100142571883.mp4,ARC MT009 6 כפות 4 מיסבים MTB רכזת אופניים 3 שיניים קדמית 15x110 אחורית 12x148 Boost עבור K7 Micro Spline HG 8 9 10 11 12S Srm XD,USD 35.82,USD 17.55,51%,90.0,98.6%,https://s.click.aliexpress.com/e/_ooAhENL
46.0,https://ae-pic-a1.aliexpress-media.com/kf/Se574080dd9e545afbae8110d3f4aa809D.jpg,,רכזות אופניים 2025 KOOZER XM490 PRO BOOST רכזת אופני הרים מיסב אטום גל פלדה 148x12MM 110x15MM 28/32 חורים רכזת רעש,USD 47.23,USD 20.31,57%,21.0,100.0%,https://s.click.aliexpress.com/e/_olYVYfX
47.0,https://ae-pic-a1.aliexpress-media.com/kf/S024def2174154a9895b0db2770b8a5f77.png,,"TANKE Bike Fork Rebound מתכוונן MTB Air Front Suspension 26/27.5/29 אינץ' 120 מ""מ נסיעות אביזרי אופניים לשחרור מהיר",USD 137.20,USD 59.00,57%,234.0,94.8%,https://s.click.aliexpress.com/e/_omLbPbj
48.0,https://ae-pic-a1.aliexpress-media.com/kf/Se5ec9ae61335468a9d27f0657475ddf6Q.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2210012038815/p/1/e/6/t/10301/311393747895.mp4,חדש 2022 אופניים חורף בגדי רכיבה על אופניים Movistar בגדי שרוולים ארוכים סט ג'רזי רכיבה Mtb Thermal Fleece Maillot Ropa Ciclismo,USD 31.00,USD 20.15,35%,12.0,87.5%,https://s.click.aliexpress.com/e/_oFvk5S1
49.0,https://ae-pic-a1.aliexpress-media.com/kf/S0f166e344ea74279ac575b68a2c49693I.jpg,,"TANKE E-Bike MTB 4 בוכנות סט בלמים דיסק הידראוליים 160 מ""מ רוטורים בלמי לחץ שמן קדמי אחורי מהדק אופני הרים קל במיוחד",USD 71.13,USD 29.16,59%,305.0,89.0%,https://s.click.aliexpress.com/e/_oBQuVQD
50.0,https://ae-pic-a1.aliexpress-media.com/kf/Sbc9f4c48170848bc85e52e3c2120602bW.jpg,,מקיטה חדש DTD173 כלי מקדחה חשמלית מקדחה אלחוטית מברג אלחוטי מקדחות אלחוטיות בניית כלי חשמלי ביתי נטענת,USD 80.87,USD 39.81,50%,56.0,96.0%,https://s.click.aliexpress.com/e/_op2q49L
51.0,https://ae-pic-a1.aliexpress-media.com/kf/S0f289149ed6341689b1e433f7b5fd341j.jpg,,כיסויי נעלי אופניים לנעלי אופניים GIYO RD-100 חורף תרמית לרכיבה על אופניים כיסויי MTB אופני כביש עמיד למים כיסויי מגפיים מחזירי אור אטומים לרוח,USD 20.33,USD 13.21,35%,9.0,100.0%,https://s.click.aliexpress.com/e/_olHopQZ
52.0,https://ae-pic-a1.aliexpress-media.com/kf/Sf69bc3465c0d4e5d954f9aa3ba28a95d5.jpg,,כדורסל גודל 5 קופסת מתנת יום הולדת מושלמת לבנים בנות משטח עמיד ללבוש עמיד ללבוש חומר עמיד כדורסל אופנתי,USD 37.27,USD 17.89,52%,5.0,100.0%,https://s.click.aliexpress.com/e/_omjSjit
53.0,https://ae-pic-a1.aliexpress-media.com/kf/S3d3407f05723441b98701d278f2ea7f5c.jpg,,פרופלם F1980EP2 ידית אופני הרים אחיזת כידון גומי לרכיבה על אופניים כיסויי כידון נגד החלקה עם נעילה אחת,USD 24.84,USD 19.13,23%,85.0,100.0%,https://s.click.aliexpress.com/e/_oCvTjyH
54.0,https://ae-pic-a1.aliexpress-media.com/kf/Se6575abf3d874bd295a1e41979715c40U.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/3531478239/p/1/e/6/t/10301/345177052516.mp4,אודי סיבי עור אמיתי אחיזת אופניים כיסוי כידון אופניים קטנוע רטרו אחיזות תפירה יד MTB אביזרי רכיבה על אופניים,USD 22.90,USD 11.22,51%,35.0,100.0%,https://s.click.aliexpress.com/e/_opt1eEH
55.0,https://ae-pic-a1.aliexpress-media.com/kf/S18e6dc91cec3406f91523f4620e6654eO.jpg,,IIIPRO צילינדר אנכי MTB בלם 4 בוכנות בלם דיסק הידראולי אופניים לפריסת כבל פנימי מלא AM DH אופני הרים חדש,USD 188.02,USD 94.47,49%,84.0,86.7%,https://s.click.aliexpress.com/e/_omeSCvb
56.0,https://ae-pic-a1.aliexpress-media.com/kf/Sa190587194844af7aef88174cded359eR.jpg,,שחור סגול גומי כדור כדורסל גודל רשמי 7 חינם מחט נטו משאבת חיצוני כדור סל עמיד,USD 36.91,USD 18.46,50%,24.0,95.0%,https://s.click.aliexpress.com/e/_ooTuNbb
57.0,https://ae-pic-a1.aliexpress-media.com/kf/Sfd955f7a9be9474c8b5422326ecf2626O.jpg,,צבע מקרון גודל 5 כדורסל אידיאלי לגן ילדים בית ספר יסודי ספורט קבוצתי כדורסל אימון משחק פנאי,USD 21.70,USD 10.20,53%,110.0,96.7%,https://s.click.aliexpress.com/e/_omSdIlF
58.0,https://ae-pic-a1.aliexpress-media.com/kf/Sd8885d2aaad149de9d396e3359eebd86c.jpg,,דוושות אופניים רחבות מלוטשות חדשות 2024 אופני כביש 3 מיסבים דוושת אופני הרים רכיבה על אופניים דוושה נגד החלקה,USD 50.48,USD 22.72,55%,34.0,100.0%,https://s.click.aliexpress.com/e/_oBx6bat
59.0,https://ae-pic-a1.aliexpress-media.com/kf/S990b20edc9db425b8805ee15df8e672aI.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2667289817/p/1/e/6/t/10301/4000095330124.mp4,7# דפוס ברק כדורסל כדורסל נוער עמיד ללבוש עמיד ללבוש באיכות גבוהה חיצוני מקורה כדורסל למבוגרים,USD 41.06,USD 24.64,40%,1.0,100.0%,https://s.click.aliexpress.com/e/_oDsZYVj
60.0,https://ae-pic-a1.aliexpress-media.com/kf/Sb008fc816b954ec681da0dabe91244a5S.jpg,,Dewalt DCD887 ללא מברשות אלחוטי כונן מקדחה חשמלית עם אור LED 3250RPM במהירות גבוהה 205NM כלים חשמליים עם מומנט גבוה,USD 94.39,USD 41.53,56%,65.0,90.0%,https://s.click.aliexpress.com/e/_ooZ4S81
61.0,https://ae-pic-a1.aliexpress-media.com/kf/S1f087e367a2f4ca5b14c7e144626f1b1v.jpg,,אחיזת כידון לאופניים גומי למניעת החלקה ארגונומי הר MTB חלקי רכיבה על אופניים אחיזת אופניים לבן צהוב אדום כחול אפור,USD 12.30,USD 9.35,24%,8.0,84.0%,https://s.click.aliexpress.com/e/_oollQlL
62.0,https://ae-pic-a1.aliexpress-media.com/kf/S4ba691bfc9124c8da7b57eebe6c4ffd58.png,,"בלם דיסק הידראולי TANKE MTB 4 בוכנות 900/1700 מ""מ רפידות בלם 4 בוכנות שרף לחץ שמן AM DH Road MTB בלם דיסק קל במיוחד",USD 64.58,USD 31.64,51%,137.0,91.2%,https://s.click.aliexpress.com/e/_omrx4sD
63.0,https://ae-pic-a1.aliexpress-media.com/kf/S5402b430afad49e39909768e6956187cq.jpg,,משחק כדורסל חום בז 'PU כדורסל רשמי מידה 7 כדורסל מקצועי עם 4 שכבות כדור עמיד חיצוני,USD 44.78,USD 19.70,56%,65.0,91.6%,https://s.click.aliexpress.com/e/_om1l43f
64.0,https://ae-pic-a1.aliexpress-media.com/kf/S76416cd5f5b448eab1478e38ad1c1b5ef.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/2683392138/p/1/e/6/t/10301/4000226736715.mp4,Koozer 450 Boost XD HG MS 11 12s 120HD 28H 32 חורים CR-MO ציר פלדה 15x110 12x148 THRU Eagle Bike Parts MTB רכזות אופניים,USD 95.09,USD 48.05,49%,34.0,100.0%,https://s.click.aliexpress.com/e/_oDKS2Yv
65.0,https://ae-pic-a1.aliexpress-media.com/kf/S025e600b6fef46beb375046fca58f262b.jpg,https://video.aliexpress-media.com/play/u/ae_sg_item/230079421/p/1/e/6/t/10301/1100123223099.mp4,ROCKBROS אור זנב אופניים עמיד למים מוט מושב אזהרת אופניים אור אחורי MTB Road מנורת LED פנס אחורי USB טעינת רכיבה אור,USD 8.97,USD 7.38,17%,628.0,98.5%,https://s.click.aliexpress.com/e/_oDx0BW1
66.0,https://ae-pic-a1.aliexpress-media.com/kf/S7b271565f7d248a2a5c4dbca662dd5b23.jpg,,אופניים יוקרתיות כיסוי ידית נעילת עור תפורה ביד אופניים מתקפלים כיסוי ידית אופניים רטרו קז'ואל בולם זעזועים Non Stick,USD 9.86,USD 5.13,48%,19.0,93.3%,https://s.click.aliexpress.com/e/_oEyn2Y1
67.0,https://ae-pic-a1.aliexpress-media.com/kf/Sd3d52e77ea694daf9b1d7ce870930369C.jpg,,DEWALT DCF860 20V סוללה מקדחה קומפקטית אלחוטית / התקן רב תכליתי מקדחה חשמלית ללא מברשות כלי חשמלי,USD 98.41,USD 40.35,59%,210.0,93.3%,https://s.click.aliexpress.com/e/_oC7Pd6D
68.0,https://ae-pic-a1.aliexpress-media.com/kf/S3d440b41c7a34a4d8f0dd93192c4b682v.jpg,,KOOZER XM490 PRO BOOST רכזת אופניים אטום גל פלדה מיסב 148x12MM 110x15MM 141x5MM רכזות רעש 28/32 חורים מאשר D792SB 350,USD 50.39,USD 21.16,58%,45.0,99.3%,https://s.click.aliexpress.com/e/_oFS1CfX
